order,name,version,direct,selection_reason,filename,selected_tag,size_bytes,sha256,url,source_index,requires_python,upload_time_iso_8601
69,regex,2026.6.28,False,VERIFIED_HOST_VERSION,regex-2026.6.28-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,280754,7b15c437bc4604f03ceb3f8d37eae2f8930e320e1bc556b259848c639d9eec1a,https://files.pythonhosted.org/packages/55/50/e19f261ff9ba9b50722a529e09b1743ecf65eb348be99d0fd2cd7fcede1c/regex-2026.6.28-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-06-28T19:56:13.758943Z
70,requests,2.34.2,True,DIRECT_PIN_VERIFIED_HOST,requests-2.34.2-py3-none-any.whl,py3-none-any,73075,2a0d60c172f83ac6ab31e4554906c0f3b3588d37b5cb939b1c061f4907e278e0,https://files.pythonhosted.org/packages/a0/f4/c67b0b3f1b9245e8d266f0f112c500d50e5b4e83cb6f3b71b6528104182a/requests-2.34.2-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-05-14T19:25:26.443000Z
71,rich,15.0.0,False,VERIFIED_HOST_VERSION,rich-15.0.0-py3-none-any.whl,py3-none-any,310654,33bd4ef74232fb73fe9279a257718407f169c09b78a87ad3d296f548e27de0bb,https://files.pythonhosted.org/packages/82/3b/64d4899d73f91ba49a8c18a8ff3f0ea8f1c1d75481760df8c68ef5235bf5/rich-15.0.0-py3-none-any.whl,https://pypi.org/simple,>=3.9.0,2026-04-12T08:24:02.830783Z
72,safetensors,0.8.0,True,DIRECT_PIN_VERIFIED_HOST,safetensors-0.8.0-cp310-abi3-win_amd64.whl,cp310-abi3-win_amd64,355540,096ec1a98435df7beb08853bb5aa9081a84f23d0adc67ed1a0a10550f608373f,https://files.pythonhosted.org/packages/1b/6d/3fba214c1e5e0f69991677ec3bc17023f0421776975e1de0c682dca475e2/safetensors-0.8.0-cp310-abi3-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-06-09T07:52:27.832806Z
73,scipy,1.18.0,True,DIRECT_PIN_VERIFIED_HOST,scipy-1.18.0-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,37288845,2d8bbdc6c817f5b4006a54d799d4f5bab6f910193cbb9a1ff310833d4d270f61,https://files.pythonhosted.org/packages/93/3e/902d836831474b0ab5a37d16404f7bc5fafd9efba632890e271ba952635f/scipy-1.18.0-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.12,2026-06-19T15:01:07.822988Z
74,sentencepiece,0.2.1,True,DIRECT_PIN_VERIFIED_HOST,sentencepiece-0.2.1-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,1155115,881b2e44b14fc19feade3cbed314be37de639fc415375cefaa5bc81a4be137fd,https://files.pythonhosted.org/packages/b8/cb/fe400d8836952cc535c81a0ce47dc6875160e5fedb71d2d9ff0e9894c2a6/sentencepiece-0.2.1-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.9,2025-08-12T07:00:32.865580Z
75,setuptools,81.0.0,False,LATEST_COMPATIBLE_FALLBACK,setuptools-81.0.0-py3-none-any.whl,py3-none-any,1062021,fdd925d5c5d9f62e4b74b30d6dd7828ce236fd6ed998a08d81de62ce5a6310d6,https://files.pythonhosted.org/packages/e1/e3/c164c88b2e5ce7b24d667b9bd83589cf4f3520d97cad01534cd3c4f55fdb/setuptools-81.0.0-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-02-06T21:10:37.175649Z
76,shellingham,1.5.4,False,VERIFIED_HOST_VERSION,shellingham-1.5.4-py2.py3-none-any.whl,py3-none-any,9755,7ecfff8f2fd72616f7481040475a65b2bf8af90a56c89140852d1120324e8686,https://files.pythonhosted.org/packages/e0/f9/0595336914c5619e5f28a1fb793285925a8cd4b432c9da0a987836c7f822/shellingham-1.5.4-py2.py3-none-any.whl,https://pypi.org/simple,>=3.7,2023-10-24T04:13:38.866125Z
77,simpleeval,1.0.7,True,DIRECT_PIN_VERIFIED_HOST,simpleeval-1.0.7-py3-none-any.whl,py3-none-any,18792,97ac271bfd8f2af9e7b9a36ceea67617f26fa873f9d5ae1922f64d4c1442534b,https://files.pythonhosted.org/packages/0f/2f/f32aa85591882378bb43caa09363f3ed97df399369a5144c7f19f2275bc0/simpleeval-1.0.7-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-03-16T10:53:02.103062Z
78,smmap,5.0.3,False,VERIFIED_HOST_VERSION,smmap-5.0.3-py3-none-any.whl,py3-none-any,24390,c106e05d5a61449cf6ba9a1e650227ecfb141590d2a98412103ff35d89fc7b2f,https://files.pythonhosted.org/packages/c1/d4/59e74daffcb57a07668852eeeb6035af9f32cbfd7a1d2511f17d2fe6a738/smmap-5.0.3-py3-none-any.whl,https://pypi.org/simple,>=3.7,2026-03-09T03:43:24.361292Z
79,spandrel,0.4.2,True,DIRECT_PIN_VERIFIED_HOST,spandrel-0.4.2-py3-none-any.whl,py3-none-any,320811,6c93e3ecbeb0e548fd2df45a605472b34c1614287c56b51bb33cdef7ae5235b5,https://files.pythonhosted.org/packages/74/31/411ea965835534c43d4b98d451968354876e0e867ea1fd42669e4cca0732/spandrel-0.4.2-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-02-21T01:52:25.015769Z
80,sqlalchemy,2.0.51,True,DIRECT_PIN_VERIFIED_HOST,sqlalchemy-2.0.51-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,2146318,96747bfbadb055466e5b46d572618170046b45ce5a4879167f50d70a5319a499,https://files.pythonhosted.org/packages/7b/78/55b12e70f45bccc40d9e483925c065027b3b98ea4cbbdf6f8c2546feaf6c/sqlalchemy-2.0.51-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.7,2026-06-15T16:23:17.108061Z
81,sympy,1.14.0,False,VERIFIED_HOST_VERSION,sympy-1.14.0-py3-none-any.whl,py3-none-any,6299353,e091cc3e99d2141a0ba2847328f5479b05d94a6635cb96148ccb3f34671bd8f5,https://files.pythonhosted.org/packages/a2/09/77d55d46fd61b4a135c444fc97158ef34a095e5681d0a6c10b75bf356191/sympy-1.14.0-py3-none-any.whl,https://pypi.org/simple,>=3.9,2025-04-27T18:04:59.103806Z
82,tokenizers,0.22.2,True,DIRECT_PIN_VERIFIED_HOST,tokenizers-0.22.2-cp39-abi3-win_amd64.whl,cp39-abi3-win_amd64,2747786,c9ea31edff2968b44a88f97d784c2f16dc0729b8b143ed004699ebca91f05c48,https://files.pythonhosted.org/packages/65/71/0670843133a43d43070abeb1949abfdef12a86d490bea9cd9e18e37c5ff7/tokenizers-0.22.2-cp39-abi3-win_amd64.whl,https://pypi.org/simple,>=3.9,2026-01-05T10:45:18.411482Z
83,toml,0.10.2,False,VERIFIED_HOST_VERSION,toml-0.10.2-py2.py3-none-any.whl,py3-none-any,16588,806143ae5bfb6a3c6e736a764057db0e6a0e05e338b5630894a5f779cabb4f9b,https://files.pythonhosted.org/packages/44/6f/7120676b6d73228c96e17f1f794d8ab046fc910d781c8d151120c3f1569e/toml-0.10.2-py2.py3-none-any.whl,https://pypi.org/simple,">=2.6, !=3.0.*, !=3.1.*, !=3.2.*",2020-11-01T01:40:20.672915Z
84,torch,2.12.1,True,DIRECT_PIN_VERIFIED_HOST,torch-2.12.1-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,122987254,f6dc4caf7eb4adb38a2d9f536b51db56310fdd1254e69a2d96767e1367c892b3,https://files.pythonhosted.org/packages/21/7c/f3a601fc1b1f663ff269bfe553654e638651939aa6563e8daa7167c33098/torch-2.12.1-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.10,2026-06-17T21:06:33.199787Z
